,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
108,mastermind,normal song,Midnights (The Til Dawn Edition),0.661,0.345,4.0,-14.037,1.0,0.144,0.545,0.000915,0.0871,0.126,125.977,66.0,52,52,52,52,52
109,me,not sang yet,Lover,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,182.162,81.0,0,0,0,0,0
110,mean,surprise song,Speak Now (Taylor's Version),0.524,0.692,4.0,-3.866,1.0,0.0369,0.311,0.0,0.192,0.621,163.874,84.0,1,1,1,1,1
111,message in a bottle,surprise song,Red (Taylor's Version),0.622,0.791,7.0,-6.106,1.0,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,75.0,1,1,1,1,1
112,midnight rain,normal song,Midnights (The Til Dawn Edition),0.654,0.372,0.0,-11.704,1.0,0.0667,0.705,6.78e-05,0.114,0.198,140.15,69.0,52,52,52,52,52
113,mine,surprise song,Speak Now (Taylor's Version),0.646,0.783,7.0,-2.846,1.0,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,88.0,1,1,1,1,1
114,mirrorball,not sang yet,folklore (deluxe version),0.549,0.417,7.0,-10.064,1.0,0.035,0.686,1.9e-06,0.0604,0.347,110.137,74.0,0,0,0,0,0
115,miss americana  the heartbreak prince,normal song,Lover,0.662,0.747,11.0,-6.926,0.0,0.0736,0.028,0.00615,0.138,0.487,150.088,85.0,52,52,52,52,52
116,mr perfectly fine,surprise song,Fearless (Taylor's Version),0.66,0.817,11.0,-6.269,0.0,0.0521,0.162,0.0,0.0667,0.714,135.942,78.0,1,1,1,1,1
117,my tears ricochet,normal song,folklore (deluxe version),0.456,0.265,0.0,-10.663,1.0,0.0328,0.814,0.0,0.0679,0.112,129.947,75.0,52,52,52,52,52
118,never grow up,surprise song,Speak Now (Taylor's Version),0.685,0.323,2.0,-7.103,1.0,0.0289,0.851,0.0,0.198,0.569,125.058,80.0,1,1,1,1,1
119,new romantics,surprise song,1989 (Deluxe),0.633,0.889,5.0,-5.87,1.0,0.0715,0.00463,0.000458,0.0658,0.584,121.956,80.0,1,1,1,1,1
120,new years day,surprise song,reputation,0.661,0.151,0.0,-12.864,1.0,0.0354,0.921,0.0,0.13,0.23,94.922,77.0,1,1,1,1,1
121,no body no crime,normal song,evermore (deluxe version),0.546,0.613,7.0,-7.589,0.0,0.0264,0.418,0.0,0.103,0.535,79.015,72.0,10,10,10,10,10
122,nothing new,normal song,Red (Taylor's Version),0.606,0.377,0.0,-9.455,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,77.0,12,12,12,12,12
123,our song,surprise song,Taylor Swift,0.668,0.672,2.0,-4.931,1.0,0.0303,0.111,0.0,0.329,0.539,89.011,78.0,2,2,2,2,2
124,ours,surprise song,Speak Now (Taylor's Version),0.535,0.488,0.0,-8.261,1.0,0.0278,0.449,0.0,0.111,0.348,159.813,80.0,1,1,1,1,1
125,out of the woods,surprise song,1989 (Deluxe),0.553,0.841,7.0,-6.937,1.0,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,78.0,1,1,1,1,1
126,paper rings,surprise song,Lover,0.811,0.719,9.0,-6.553,1.0,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,87.0,1,1,1,1,1
127,paris,not sang yet,Midnights (The Til Dawn Edition),0.691,0.498,7.0,-10.519,1.0,0.101,0.116,3.07e-05,0.136,0.454,110.963,66.0,0,0,0,0,0
128,peace,not sang yet,folklore (deluxe version),0.644,0.284,5.0,-12.879,1.0,0.0821,0.916,1.5e-05,0.0909,0.328,150.072,71.0,0,0,0,0,0
129,picture to burn,surprise song,Taylor Swift,0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,74.0,1,1,1,1,1
